step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.493794266824013,0,0.0,0.8813655227954769,0,0.0
10.0,0,0.0,0.0,13.218757357058836,0,0.0,0.9549599637745573,0,0.0
15.0,2,3.0,0.16666666666666666,11.130818092729573,2,3.0,0.7313104002653813,2,3.0
20.0,4,19.0,0.9047619047619048,10.364917912626963,4,19.0,0.6768916069420171,4,19.0
25.0,7,48.0,2.0869565217391304,8.875762045674376,7,48.0,0.46070789000194734,7,48.0
30.0,8,88.0,3.0344827586206895,9.596599218140982,8,88.0,0.5528767727253406,8,88.0
35.0,9,130.0,5.2,8.294632380185817,9,130.0,0.49760110175567895,9,130.0
40.0,12,180.0,6.0,6.916198122936625,12,180.0,0.37061097435022483,12,180.0
45.0,15,251.0,7.606060606060606,6.735389454085917,15,251.0,0.41480839736507297,15,251.0
50.0,19,333.0,9.25,5.958690143537141,19,333.0,0.38084414007157313,19,333.0
55.0,20,429.0,10.463414634146341,5.91281120485434,20,429.0,0.35759206951600764,20,429.0
60.0,24,539.0,12.25,5.581648085964537,24,539.0,0.2483023120439718,24,539.0
65.0,26,665.0,15.833333333333334,4.372199136072434,26,665.0,0.16933359749376017,26,665.0
70.0,28,805.0,17.5,4.997314690968884,28,805.0,0.23326387413914082,28,805.0
75.0,28,945.0,20.543478260869566,4.680633008334763,28,945.0,0.246884208394698,28,945.0
80.0,31,1092.0,23.73913043478261,3.5529888200987174,31,1092.0,0.17941158350529268,31,1092.0
85.0,34,1257.0,24.647058823529413,3.779755336238035,34,1257.0,0.21124714610925227,34,1257.0
90.0,36,1434.0,24.724137931034484,3.581067764660271,36,1434.0,0.18356709085500175,36,1434.0
95.0,44,1638.0,26.852459016393443,3.3569586956789417,44,1638.0,0.19802518039125824,44,1638.0
100.0,45,1859.0,28.166666666666668,3.7487293048916244,45,1859.0,0.19144993507245697,45,1859.0
105.0,48,2091.0,31.208955223880597,3.1974012147588304,48,2091.0,0.11093159283371229,48,2091.0
110.0,52,2342.0,32.985915492957744,3.2250377216209136,52,2342.0,0.09823527648119443,52,2342.0
115.0,54,2609.0,35.25675675675676,2.9400729785246402,54,2609.0,0.14319568778472705,54,2609.0
120.0,58,2891.0,40.71830985915493,2.017674949403591,58,2891.0,0.09724442985183299,58,2891.0
125.0,61,3192.0,43.13513513513514,2.007141139103027,61,3192.0,0.06954047180848665,61,3192.0
130.0,64,3505.0,46.11842105263158,2.118095426992669,64,3505.0,0.08016607529139547,64,3505.0
135.0,65,3826.0,49.688311688311686,1.8248009404541152,65,3826.0,0.07153272403786538,65,3826.0
140.0,67,4158.0,51.975,2.0560974969837695,67,4158.0,0.09265494227918891,67,4158.0
145.0,69,4498.0,53.54761904761905,2.3580691420715216,69,4498.0,0.10734685582666238,69,4498.0
150.0,69,4843.0,59.79012345679013,1.9109213159904097,69,4843.0,0.08399737102900905,69,4843.0
155.0,69,5188.0,62.506024096385545,2.040397177104796,69,5188.0,0.0617058649338171,69,5188.0
160.0,70,5538.0,65.92857142857143,1.9313487296600564,70,5538.0,0.07409297123463934,70,5538.0
165.0,71,5893.0,71.0,1.79082735923341,71,5893.0,0.06308229644881085,71,5893.0
170.0,71,6248.0,75.27710843373494,1.6593641804654278,71,6248.0,0.06215674202853232,71,6248.0
175.0,72,6607.0,79.60240963855422,1.7271734725062453,72,6607.0,0.05110207482661353,72,6607.0
180.0,72,6967.0,86.01234567901234,1.4217946008620694,72,6967.0,0.04995792967929409,72,6967.0
185.0,72,7327.0,89.35365853658537,1.6294257829011383,72,7327.0,0.06215516649793618,72,7327.0
190.0,72,7687.0,89.38372093023256,2.1214297690659403,72,7687.0,0.11554153123804721,72,7687.0
195.0,72,8047.0,92.49425287356321,2.2543888480209517,72,8047.0,0.11524153693294915,72,8047.0
200.0,72,8407.0,98.90588235294118,2.013194420746026,72,8407.0,0.061309035618002945,72,8407.0
205.0,72,8767.0,101.94186046511628,2.1340826813250113,72,8767.0,0.03801241500317246,72,8767.0
210.0,72,9127.0,109.96385542168674,1.7081064821936953,72,9127.0,0.03815223506318349,72,9127.0
215.0,72,9487.0,120.0886075949367,1.195043974836779,72,9487.0,0.050617777039109406,72,9487.0
220.0,72,9847.0,121.5679012345679,1.4982694411434003,72,9847.0,0.074256866619042,72,9847.0
225.0,72,10207.0,122.97590361445783,1.6961804337242412,72,10207.0,0.0692775243956446,72,10207.0
230.0,72,10567.0,127.3132530120482,1.6982866194409298,72,10567.0,0.06994735581979362,72,10567.0
235.0,72,10927.0,130.08333333333334,1.8679489766282356,72,10927.0,0.08365771646618143,72,10927.0
240.0,72,11287.0,131.24418604651163,2.1365490258109294,72,11287.0,0.09421345016773992,72,11287.0
245.0,72,11647.0,133.8735632183908,2.2922365997900283,72,11647.0,0.09645570346916789,72,11647.0
250.0,72,12007.0,144.66265060240963,1.7582652355168011,72,12007.0,0.03796993150394752,72,12007.0
255.0,60,9671.0,112.45348837209302,2.3600706199262085,60,11409.0,0.10305646357077299,60,11409.0
260.0,42,6037.0,71.86904761904762,4.036016676859615,42,9727.0,0.1686607251376631,42,9727.0
265.0,26,3349.0,40.34939759036145,5.656913072133295,26,7677.0,0.21085903295732333,26,7677.0
270.0,9,960.0,12.151898734177216,5.813742476189185,9,7571.0,0.2979218256960193,9,7571.0
275.0,15,53.0,0.7361111111111112,5.920831767485754,15,7619.0,0.3048908469602734,15,7619.0
280.0,25,160.0,2.2535211267605635,4.877894251365649,25,7726.0,0.21480577931163197,25,7726.0
285.0,37,321.0,4.938461538461539,3.2898114062258874,37,7887.0,0.11340423861736258,37,7887.0
290.0,47,547.0,8.044117647058824,3.383155724567583,47,8114.0,0.12721807366127452,47,8114.0
295.0,54,804.0,12.181818181818182,1.885058899350233,54,8371.0,0.04835636726527297,54,8371.0
300.0,58,1085.0,14.863013698630137,2.161006355767623,58,8652.0,0.0906416852520677,58,8652.0
305.0,62,1384.0,18.7027027027027,1.747970288585012,62,8951.0,0.09920402860902441,62,8951.0
310.0,65,1703.0,22.407894736842106,1.72124256687283,65,9270.0,0.07767894024149322,65,9270.0
315.0,66,2032.0,26.05128205128205,2.020997825833816,66,9599.0,0.06531760187786231,66,9599.0
320.0,66,2362.0,30.675324675324674,1.8395609562670152,66,9929.0,0.05343037753998339,66,9929.0
325.0,66,2692.0,35.89333333333333,1.586324888956584,66,10259.0,0.041358726542944875,66,10259.0
330.0,66,3022.0,39.76315789473684,1.5866009930960832,66,10589.0,0.042072442445266235,66,10589.0
335.0,67,3357.0,45.36486486486486,1.2401562222112252,67,10924.0,0.05456561215866423,67,10924.0
340.0,67,3692.0,47.333333333333336,1.5347537149917712,67,11259.0,0.06755412544410676,67,11259.0
345.0,69,4035.0,51.73076923076923,1.4258346364208216,69,11602.0,0.08397915261828769,69,11602.0
350.0,69,4380.0,56.15384615384615,1.4321493371317606,69,11947.0,0.051226832496633255,69,11947.0
355.0,69,4725.0,56.25,2.151317622570345,69,12292.0,0.08402229342934613,69,12292.0
360.0,71,5077.0,60.44047619047619,2.0392869046808553,71,12644.0,0.07461752039702811,71,12644.0
365.0,72,5433.0,63.917647058823526,1.9417657181761452,72,13000.0,0.07834650198200134,72,13000.0
370.0,72,5793.0,67.36046511627907,2.097782758583713,72,13360.0,0.10180523718161777,72,13360.0
375.0,62,4907.0,55.76136363636363,2.071178757232057,62,12545.0,0.12489393698568216,62,12545.0
380.0,45,3184.0,35.37777777777778,3.7273645956407355,45,10308.0,0.1739515995665057,45,10308.0
385.0,33,1743.0,18.15625,5.651505845122319,33,7561.0,0.24350580892385462,33,7561.0
390.0,14,304.0,3.4942528735632186,4.799968731162108,14,7629.0,0.22403874920566458,14,7629.0
395.0,14,56.0,0.691358024691358,5.283642932389535,14,7647.0,0.23464022740941629,14,7647.0
400.0,28,171.0,2.111111111111111,5.089801920050375,28,7741.0,0.1989739356593252,28,7741.0
405.0,41,347.0,4.626666666666667,3.6146761188232435,41,7905.0,0.10688557243900026,41,7905.0
410.0,53,585.0,7.8,3.347267170440937,53,8144.0,0.11763364817613665,53,8144.0
415.0,57,861.0,11.635135135135135,2.469129664591318,57,8420.0,0.11343876394233597,57,8420.0
420.0,61,1160.0,14.683544303797468,2.6186917933837495,61,8719.0,0.10890576911761951,61,8719.0
425.0,64,1473.0,19.12987012987013,2.064458903109168,64,9032.0,0.08648413587056175,64,9032.0
430.0,67,1800.0,22.5,1.8689021630183114,67,9359.0,0.041180089543050115,67,9359.0
435.0,67,2135.0,27.025316455696203,1.7226518513414213,67,9694.0,0.06343342918727458,67,9694.0
440.0,68,2474.0,31.71794871794872,1.418637962336513,68,10033.0,0.04975715022985452,68,10033.0
445.0,69,2818.0,35.67088607594937,1.269910269118743,69,10377.0,0.03539923373287672,69,10377.0
450.0,72,3172.0,38.68292682926829,1.5969892467046587,72,10731.0,0.04990491217264435,72,10731.0
455.0,72,3532.0,43.60493827160494,1.4303274988202526,72,11091.0,0.05975096923462067,72,11091.0
460.0,72,3892.0,48.04938271604938,1.5189844734677198,72,11451.0,0.07281765318079156,72,11451.0
465.0,72,4252.0,53.15,1.3475162602871822,72,11811.0,0.03684008035500112,72,11811.0
470.0,72,4612.0,55.566265060240966,1.8017969617722789,72,12171.0,0.04999121591414193,72,12171.0
475.0,72,4972.0,61.382716049382715,1.515442182014856,72,12531.0,0.06295915988664716,72,12531.0
480.0,72,5332.0,65.02439024390245,1.6736141654394008,72,12891.0,0.06156933739363508,72,12891.0
485.0,72,5692.0,70.27160493827161,1.5548569191936314,72,13251.0,0.03853987571086188,72,13251.0
490.0,72,6052.0,74.71604938271605,1.5412784635408106,72,13611.0,0.03826063362172795,72,13611.0
495.0,72,6412.0,80.15,1.4088330659403123,72,13971.0,0.05213915917804052,72,13971.0
500.0,72,6772.0,81.59036144578313,1.7382895582166782,72,14331.0,0.09934286056846449,72,14331.0
505.0,72,7132.0,86.97560975609755,1.6230673023577242,72,14691.0,0.07052489631320401,72,14691.0
510.0,72,7492.0,90.26506024096386,1.7732184927780534,72,15051.0,0.050708554552913426,72,15051.0
515.0,72,7852.0,93.47619047619048,1.810423728057255,72,15411.0,0.0600688910557684,72,15411.0
520.0,72,8212.0,98.93975903614458,1.6685945686226582,72,15771.0,0.09607276692843897,72,15771.0
525.0,72,8572.0,103.27710843373494,1.7141380857536566,72,16131.0,0.06309014798848694,72,16131.0
530.0,72,8932.0,106.33333333333333,1.7650236931819154,72,16491.0,0.04985362847727743,72,16491.0
535.0,72,9292.0,116.15,1.2391035538031783,72,16851.0,0.025700053502229994,72,16851.0
540.0,72,9652.0,120.65,1.2923927326552782,72,17211.0,0.03844333669021241,72,17211.0
545.0,72,10012.0,125.15,1.2810971043845316,72,17571.0,0.049660298541896596,72,17571.0
550.0,72,10372.0,132.97435897435898,0.9400952556242069,72,17931.0,0.049248443566916066,72,17931.0
555.0,72,10732.0,134.15,1.2611624608138077,72,18291.0,0.02702702702702703,72,18291.0
560.0,72,11092.0,138.65,1.3168222692525624,72,18651.0,0.04931048730257676,72,18651.0
565.0,72,11452.0,143.15,1.3398315543868176,72,19011.0,0.05076637294373052,72,19011.0
570.0,72,11812.0,144.0487804878049,1.5768240377780276,72,19371.0,0.0697052055655374,72,19371.0
575.0,72,12172.0,146.65060240963857,1.6774513941108018,72,19731.0,0.07159953378635277,72,19731.0
580.0,72,12532.0,150.9879518072289,1.6682851089571753,72,20091.0,0.09196260973833706,72,20091.0
585.0,72,12892.0,155.32530120481928,1.6625833110683472,72,20451.0,0.0590778318362822,72,20451.0
590.0,72,13252.0,157.76190476190476,1.7494402511906155,72,20811.0,0.038830296389937916,72,20811.0
595.0,72,13612.0,166.0,1.5718369029765662,72,21171.0,0.04971692821761006,72,21171.0
600.0,72,13972.0,170.390243902439,1.5706395318293982,72,21531.0,0.061856754138525906,72,21531.0
605.0,72,14332.0,174.78048780487805,1.6607101419707813,72,21891.0,0.07323018230965865,72,21891.0
610.0,72,14692.0,177.0120481927711,1.7650253937389728,72,22251.0,0.07375071352975548,72,22251.0
615.0,72,15052.0,183.5609756097561,1.6244776025126457,72,22611.0,0.050991761887091064,72,22611.0
620.0,72,15412.0,185.6867469879518,1.6903292103852519,72,22971.0,0.05035661667225714,72,22971.0
