step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
360.0,68,5009.0,65.90789473684211,1.4449400529887018,68,5776.0,0.052947757398303125,68,5776.0
365.0,68,5349.0,68.57692307692308,1.494016990813371,68,6116.0,0.0514046206742331,68,6116.0
370.0,70,5695.0,72.0886075949367,1.4472626436551466,70,6462.0,0.06037103213114444,70,6462.0
375.0,70,6045.0,75.5625,1.4060525341302115,70,6812.0,0.08022754207149749,70,6812.0
380.0,71,6400.0,77.10843373493977,1.7261812481347873,71,7167.0,0.08692984623730692,71,7167.0
385.0,72,6759.0,77.6896551724138,2.0474621537869844,72,7526.0,0.08680629111590177,72,7526.0
390.0,72,7119.0,82.77906976744185,1.9438781730283836,72,7886.0,0.07775960116850571,72,7886.0
395.0,72,7479.0,86.96511627906976,2.016710717773343,72,8246.0,0.06993470833391319,72,8246.0
400.0,61,6106.0,71.0,2.0822439256038265,61,7825.0,0.09108594882819523,61,7825.0
405.0,44,3598.0,41.35632183908046,3.8572864394448034,44,6659.0,0.15814055258004178,44,6659.0
410.0,30,1837.0,21.36046511627907,5.263754911427907,30,4905.0,0.18310492446688326,30,4905.0
415.0,12,403.0,4.914634146341464,5.404988890849014,12,4965.0,0.27117326463435404,12,4965.0
420.0,15,55.0,0.7333333333333333,5.533771752356344,15,4992.0,0.28036611102696857,15,4992.0
425.0,26,165.0,2.2916666666666665,4.519827815927992,26,5095.0,0.14591210348196199,26,5095.0
430.0,40,335.0,4.855072463768116,2.869880076494343,40,5265.0,0.06307824657341451,40,5265.0
435.0,52,575.0,8.333333333333334,2.4188640624148006,52,5506.0,0.11640564291225342,52,5506.0
440.0,57,851.0,11.657534246575343,2.1221837943944277,57,5782.0,0.11228698627641419,57,5782.0
445.0,63,1154.0,14.794871794871796,2.063535332920851,63,6085.0,0.08883867719067551,63,6085.0
450.0,67,1482.0,18.296296296296298,1.881754931092101,67,6413.0,0.0785961331736617,67,6413.0
455.0,71,1827.0,22.555555555555557,1.5587096096351556,71,6758.0,0.04228272477826535,71,6758.0
460.0,72,2186.0,26.023809523809526,1.8971353082551619,72,7117.0,0.07215793004314422,72,7117.0
465.0,72,2546.0,31.825,1.360524369725185,72,7477.0,0.05040769415296762,72,7477.0
470.0,72,2906.0,35.01204819277108,1.7564109762072802,72,7837.0,0.062491505060897415,72,7837.0
475.0,72,3266.0,39.829268292682926,1.564067303137361,72,8197.0,0.07038796619344055,72,8197.0
480.0,72,3626.0,43.68674698795181,1.8059175763076087,72,8557.0,0.08514043416994434,72,8557.0
485.0,72,3986.0,46.89411764705882,2.083755052324658,72,8917.0,0.0741833344965015,72,8917.0
490.0,72,4346.0,52.36144578313253,1.7898912863194167,72,9277.0,0.036808287630704525,72,9277.0
495.0,72,4706.0,55.36470588235294,2.1297724028093965,72,9637.0,0.08443171942318681,72,9637.0
500.0,72,5066.0,61.78048780487805,1.6038520034418546,72,9997.0,0.08317580358752652,72,9997.0
505.0,72,5426.0,65.37349397590361,1.7419502298410563,72,10357.0,0.03861675335876682,72,10357.0
510.0,72,5786.0,70.5609756097561,1.5962670141941044,72,10717.0,0.050444733679650175,72,10717.0
515.0,72,6146.0,74.95121951219512,1.5924188900988485,72,11077.0,0.07360964086628484,72,11077.0
520.0,72,6506.0,78.3855421686747,1.7174523917766313,72,11437.0,0.08374064194069296,72,11437.0
525.0,72,6866.0,83.73170731707317,1.640394684303784,72,11797.0,0.038025032898552746,72,11797.0
530.0,72,7226.0,90.325,1.360202897607976,72,12157.0,0.013494898526196368,72,12157.0
535.0,72,7586.0,97.25641025641026,1.061343509293414,72,12517.0,0.026413943887804766,72,12517.0
540.0,72,7946.0,104.55263157894737,0.7320070287833828,72,12877.0,0.03832098398030741,72,12877.0
545.0,72,8306.0,106.48717948717949,1.0302776715925348,72,13237.0,0.04951153542203131,72,13237.0
550.0,72,8666.0,109.69620253164557,1.1983946464126183,72,13597.0,0.049878469913688675,72,13597.0
555.0,72,9026.0,114.25316455696202,1.1937800764599895,72,13957.0,0.013398258929792716,72,13957.0
560.0,72,9386.0,117.325,1.3543162483461508,72,14317.0,0.05132752224190048,72,14317.0
565.0,72,9746.0,124.94871794871794,0.9532531450586574,72,14677.0,0.06008414442957747,72,14677.0
570.0,72,10106.0,121.75903614457832,1.7596844385384662,72,15037.0,0.07423397543272717,72,15037.0
575.0,72,10466.0,123.12941176470588,2.0461985390193838,72,15397.0,0.10508510984220618,72,15397.0
580.0,72,10826.0,125.88372093023256,2.1076712006473284,72,15757.0,0.07959619645042804,72,15757.0
585.0,72,11186.0,131.6,2.09360221402062,72,16117.0,0.050970306242271106,72,16117.0
590.0,72,11546.0,134.25581395348837,2.1832530199086633,72,16477.0,0.03738301397477795,72,16477.0
595.0,60,9755.0,120.4320987654321,1.8922674160425783,60,15512.0,0.0832605775232783,60,15512.0
600.0,42,6509.0,82.39240506329114,3.3543087690150224,42,13012.0,0.1209794495167843,42,13012.0
605.0,28,3919.0,47.792682926829265,5.673865403704004,28,10328.0,0.2203591097172091,28,10328.0
610.0,10,960.0,12.631578947368421,5.9199702120896625,10,9537.0,0.25943852167480885,10,9537.0
615.0,13,42.0,0.6086956521739131,5.771569157391658,13,9571.0,0.2652494875125152,13,9571.0
620.0,24,143.0,2.2698412698412698,4.168356104685936,24,9671.0,0.16295853873991625,24,9671.0
625.0,39,306.0,4.935483870967742,2.8097670492148614,39,9834.0,0.12318191493305465,39,9834.0
630.0,48,529.0,7.666666666666667,3.348462658798613,48,10057.0,0.18387325830346604,48,10057.0
635.0,53,785.0,11.376811594202898,2.3603451593584386,53,10313.0,0.09407131447900825,53,10313.0
640.0,57,1066.0,14.026315789473685,2.596691123116082,57,10594.0,0.10416022077073368,57,10594.0
645.0,63,1370.0,17.792207792207794,1.7371756049160685,63,10898.0,0.05870207046150143,63,10898.0
650.0,67,1699.0,21.78205128205128,1.7940549506882109,67,11227.0,0.05852354952407411,67,11227.0
655.0,69,2039.0,27.186666666666667,1.0434782371403957,69,11567.0,0.02642902977565186,69,11567.0
660.0,69,2384.0,30.961038961038962,1.1904772336034393,69,11912.0,0.050880131048316075,69,11912.0
665.0,70,2734.0,34.175,1.5290419593361566,70,12262.0,0.07832953386867886,70,12262.0
670.0,71,3086.0,38.098765432098766,1.4567504133272475,71,12614.0,0.060473410373155796,71,12614.0
675.0,72,3446.0,41.51807228915663,1.7953855872514897,72,12974.0,0.050884974918793235,72,12974.0
680.0,72,3806.0,46.98765432098765,1.4428086507600475,72,13334.0,0.038020080154381145,72,13334.0
685.0,72,4166.0,52.734177215189874,1.050094330869876,72,13694.0,0.025680227030072396,72,13694.0
690.0,72,4526.0,55.876543209876544,1.3383550539748106,72,14054.0,0.06121071859656505,72,14054.0
695.0,72,4886.0,59.58536585365854,1.4821592451189372,72,14414.0,0.08306523254601915,72,14414.0
700.0,72,5246.0,65.575,1.2083064481605639,72,14774.0,0.03774842005844233,72,14774.0
705.0,72,5606.0,67.5421686746988,1.5933123500279738,72,15134.0,0.050877672257834475,72,15134.0
710.0,60,4785.0,56.964285714285715,2.2040264886105363,60,13998.0,0.07676357722263086,60,13998.0
715.0,40,3149.0,38.40243902439025,3.839769640567361,40,11415.0,0.1624543386576796,40,11415.0
720.0,27,1855.0,21.823529411764707,5.8966860257274325,27,7670.0,0.23057323873211305,27,7670.0
725.0,10,421.0,5.329113924050633,5.9543272998875585,10,7736.0,0.32820671650443994,10,7736.0
730.0,16,60.0,0.7894736842105263,5.849392484083991,16,7789.0,0.27822169198613717,16,7789.0
735.0,27,176.0,2.410958904109589,4.645487276637329,27,7905.0,0.17701631438081994,27,7905.0
