step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
170,18,141.0,2.3114754098360657,7.112632381969276
171,16,125.0,2.0491803278688523,6.77161929747671
172,14,105.0,1.75,6.5658672379006076
173,14,92.0,1.5081967213114753,6.348435012391067
174,13,92.0,1.5081967213114753,6.259978826877844
175,13,105.0,1.721311475409836,6.448766856879676
176,15,119.0,1.9193548387096775,6.518674358703723
177,16,135.0,2.1774193548387095,6.84587271141961
178,17,152.0,2.4918032786885247,7.024522182028641
179,16,122.0,1.9365079365079365,7.097444427346891
180,12,105.0,1.640625,7.413518051740773
181,11,112.0,1.75,7.647120897643882
182,12,123.0,1.8923076923076922,7.7602253330361615
183,8,74.0,1.1384615384615384,7.879603287348241
184,8,64.0,1.0,8.065001261593192
185,10,57.0,0.890625,8.217755700089143
186,11,59.0,0.8939393939393939,8.106837257100892
187,8,66.0,1.03125,8.157357936794908
188,10,75.0,1.1904761904761905,7.954586135788713
189,10,84.0,1.3333333333333333,7.883398171037613
190,10,94.0,1.492063492063492,7.829799792521096
191,11,105.0,1.6666666666666667,7.944053825350935
192,15,118.0,1.8153846153846154,7.72308195435161
193,16,134.0,2.09375,7.5956289063496865
194,20,153.0,2.390625,7.0916436895646235
195,20,172.0,2.646153846153846,6.669258555046026
196,20,190.0,2.96875,6.237652731655284
197,19,141.0,2.203125,6.12368510830995
198,20,121.0,1.890625,5.86983204885011
199,20,130.0,2.1311475409836067,5.631770261426674
200,19,101.0,1.6557377049180328,5.800658887884918
201,19,87.0,1.4745762711864407,5.582180849123539
202,13,78.0,1.3220338983050848,6.064837482687724
203,11,75.0,1.3157894736842106,6.2857944659189755
204,11,75.0,1.293103448275862,6.728436689463235
205,9,48.0,0.8275862068965517,6.968601591220081
206,8,39.0,0.6610169491525424,7.1569938290207995
207,8,46.0,0.7796610169491526,7.3484026546869705
208,8,54.0,0.9152542372881356,7.667722564264671
209,8,62.0,1.0689655172413792,7.966377476336649
210,10,71.0,1.2033898305084745,8.082034542370113
211,11,82.0,1.3898305084745763,8.169498459269784
212,11,54.0,0.9,7.830234066443435
213,9,57.0,0.95,8.023611251245686
214,7,60.0,1.0526315789473684,8.247450663587335
215,8,67.0,1.1551724137931034,8.355795453064573
216,8,75.0,1.3392857142857142,8.358127516123181
217,9,83.0,1.4821428571428572,8.452881969974285
218,9,91.0,1.5964912280701755,8.65064192116262
219,10,100.0,1.7543859649122806,8.607903960612871
220,6,74.0,1.3703703703703705,8.442188095463669
221,7,73.0,1.3773584905660377,8.215152115862102
222,8,80.0,1.4814814814814814,8.41687482501072
223,7,87.0,1.6415094339622642,8.710861006605173
224,8,94.0,1.7735849056603774,8.6694942852252
225,9,102.0,1.9245283018867925,8.637262427171851
226,8,110.0,2.0754716981132075,8.76362164615741
227,10,119.0,2.2452830188679247,8.517782392353768
228,11,129.0,2.4339622641509435,8.43626346075478
229,11,140.0,2.641509433962264,8.443015720803823
230,13,152.0,2.814814814814815,8.093574402905046
231,14,165.0,3.0555555555555554,7.74388452673622
232,10,64.0,1.2075471698113207,7.751752022304349
233,11,62.0,1.1481481481481481,7.870790391853756
234,10,72.0,1.3333333333333333,7.9389586799550385
235,10,82.0,1.5769230769230769,7.582852847303827
236,12,92.0,1.7037037037037037,7.230714114659121
237,12,103.0,1.9074074074074074,6.863699884702606
238,10,79.0,1.462962962962963,7.172474919658513
239,10,74.0,1.3703703703703705,7.352248540705733
240,11,84.0,1.5272727272727273,7.704208970191291
241,11,95.0,1.7272727272727273,8.235900956263386
242,12,106.0,1.8928571428571428,8.640904320448833
243,13,118.0,2.0701754385964914,8.80692579680536
244,12,130.0,2.280701754385965,8.829996604965636
245,13,142.0,2.491228070175439,8.318750281627764
246,11,81.0,1.4210526315789473,7.837833792256373
247,10,55.0,0.9821428571428571,7.706664612136336
248,11,57.0,1.0555555555555556,7.40930450296245
249,9,39.0,0.7222222222222222,7.009009942275918
250,7,34.0,0.6415094339622641,6.886496692214672
251,9,39.0,0.7222222222222222,6.8787909698155625
252,11,48.0,0.9056603773584906,6.472278377017402
253,10,37.0,0.6981132075471698,6.839545437536989
254,10,41.0,0.7884615384615384,6.981120307443231
255,12,52.0,0.9811320754716981,7.193009296599781
256,12,64.0,1.2307692307692308,7.458403195938187
257,13,76.0,1.4615384615384615,7.745370186834719
258,14,89.0,1.679245283018868,8.316340529580437
259,14,103.0,2.019607843137255,8.350697824913253
260,15,117.0,2.25,8.269802227024512
261,11,73.0,1.4038461538461537,8.282667346278938
262,8,55.0,1.0576923076923077,8.634859824804126
263,8,54.0,1.0588235294117647,8.433009008648273
264,9,62.0,1.2156862745098038,8.141059521866882
265,8,70.0,1.3725490196078431,8.096936843647955
266,9,78.0,1.5294117647058822,7.655336575736439
267,9,86.0,1.6538461538461537,7.628072517657662
268,11,97.0,1.8653846153846154,7.783612161496218
269,11,98.0,1.9215686274509804,7.867541928579945
270,13,108.0,2.0377358490566038,7.58704863453718
271,11,119.0,2.2884615384615383,7.531143762159657
272,12,130.0,2.5,7.521204517095156
273,13,142.0,2.730769230769231,7.385181556320044
274,13,155.0,3.0392156862745097,7.495922641552214
275,14,168.0,3.230769230769231,7.346907247481516
276,16,183.0,3.519230769230769,7.064399906724167
277,16,199.0,3.9019607843137254,6.938781527327392
278,18,216.0,4.32,6.7023661363632705
279,15,153.0,3.1875,6.437833478882112
280,12,145.0,3.0208333333333335,6.624373121746136
281,12,101.0,2.061224489795918,6.710879585143107
282,10,86.0,1.7551020408163265,6.816775173232125
283,8,89.0,1.8541666666666667,7.175598338272246
284,9,97.0,2.0208333333333335,6.969328339836049
285,10,106.0,2.163265306122449,6.966634497894105
286,11,117.0,2.3877551020408165,7.045281055042529
287,9,63.0,1.2857142857142858,7.350202570692495
288,9,41.0,0.82,7.462370836427867
289,10,41.0,0.82,7.553168161778638
290,11,51.0,1.0,7.804504460136876
291,14,64.0,1.2307692307692308,7.673898464209412
292,13,77.0,1.5098039215686274,7.553748674928706
293,15,91.0,1.75,7.423334194592651
294,15,84.0,1.6470588235294117,6.858784853575738
295,13,88.0,1.7959183673469388,6.874931536193563
296,13,93.0,1.9375,6.923697384843347
297,13,97.0,1.9795918367346939,6.678113794336438
298,11,72.0,1.469387755102041,6.573146171182793
299,9,53.0,1.06,6.6858510334032895
300,7,51.0,1.0408163265306123,7.111149455206351
301,6,52.0,1.0833333333333333,7.216422428183141
302,6,20.0,0.40816326530612246,7.412890645969026
303,7,20.0,0.39215686274509803,7.481633963366738
304,6,26.0,0.5098039215686274,7.63732313077506
305,8,33.0,0.6346153846153846,7.441986737465445
306,8,40.0,0.7692307692307693,7.629691448295743
307,9,49.0,0.9423076923076923,8.125211258906226
308,11,58.0,1.0740740740740742,8.221189595960801
309,10,67.0,1.2181818181818183,8.517564460380301
310,10,77.0,1.4259259259259258,8.838906613548586
311,11,87.0,1.5818181818181818,8.989587284701198
312,11,97.0,1.7636363636363637,8.56163201847244
313,11,108.0,2.0,8.688257994578164
314,13,120.0,2.1818181818181817,8.458647327330903
315,14,133.0,2.418181818181818,8.075778405683636
316,13,146.0,2.6545454545454548,7.884128006165342
317,15,160.0,2.857142857142857,7.600099540817502
318,16,175.0,3.125,7.362285679005191
319,15,190.0,3.4545454545454546,7.070716252597031
320,12,119.0,2.1636363636363636,6.998345166428675
321,11,89.0,1.6181818181818182,7.017355149659593
322,9,97.0,1.7636363636363637,7.132015700332183
323,11,107.0,1.9107142857142858,7.4140242535713
324,10,117.0,2.1272727272727274,7.659085033292653
325,12,129.0,2.4339622641509435,7.686931193924219
326,13,141.0,2.611111111111111,7.59483995322833
327,13,153.0,2.7818181818181817,7.6220605472206975
328,12,144.0,2.6666666666666665,7.567105425307558
329,16,158.0,2.8214285714285716,7.213402687824469
330,13,124.0,2.2142857142857144,7.07023292768529
331,11,94.0,1.6785714285714286,6.81758947541558
332,12,69.0,1.2105263157894737,6.436563085253947
333,12,65.0,1.1206896551724137,6.429088269479886
334,13,72.0,1.263157894736842,6.420277966950111
335,12,52.0,0.9122807017543859,6.522650637304905
336,11,39.0,0.6842105263157895,6.2639023570094725
337,8,35.0,0.6140350877192983,6.458326375359119
338,9,40.0,0.7017543859649122,6.641706832947081
339,9,45.0,0.7894736842105263,6.997019182867759
340,8,53.0,0.9464285714285714,7.467506642050599
341,10,62.0,1.087719298245614,7.639611498432052
342,10,71.0,1.2456140350877194,7.390511222152117
343,9,59.0,1.0350877192982457,7.688708270363041
344,8,56.0,0.9824561403508771,7.807525453119653
345,7,60.0,1.0344827586206897,7.970460136726703
346,8,68.0,1.1929824561403508,8.292538374393274
347,5,27.0,0.48214285714285715,8.430914170301278
348,6,13.0,0.22413793103448276,8.530139194679483
349,3,13.0,0.22413793103448276,8.734860096795755
350,4,16.0,0.27586206896551724,8.577397661862351
351,5,20.0,0.3448275862068966,8.538438859571075
352,4,24.0,0.42105263157894735,8.924181962285111
353,6,29.0,0.5,9.177058023125394
354,7,36.0,0.6206896551724138,9.515464467913628
355,8,44.0,0.7586206896551724,9.56768431418383
356,10,52.0,0.8666666666666667,9.015537485066183
357,10,61.0,1.0166666666666666,8.774441508037938
358,9,70.0,1.1864406779661016,8.670589688314626
359,10,80.0,1.3559322033898304,8.331389274601069
360,13,91.0,1.4918032786885247,7.831795692477665
361,11,81.0,1.3278688524590163,7.7251820824556106
362,10,64.0,1.032258064516129,7.557853682588321
363,8,59.0,0.9672131147540983,7.344769608282218
364,9,68.0,1.1147540983606556,7.337554254812859
365,12,79.0,1.3166666666666667,7.23013282966715
366,12,91.0,1.5166666666666666,7.460767089722009
367,15,106.0,1.7966101694915255,7.600794877592581
368,17,121.0,2.0166666666666666,7.205614959231801
369,15,109.0,1.7868852459016393,7.140388586987936
370,16,125.0,2.0491803278688523,7.161162405718218
371,18,142.0,2.3278688524590163,6.892006790114275
372,19,160.0,2.622950819672131,6.733069259972699
373,20,179.0,2.9344262295081966,6.581574701709456
374,21,199.0,3.2096774193548385,6.638541668546481
375,23,221.0,3.507936507936508,6.581376960340727
376,19,191.0,3.0317460317460316,6.478408044626508
377,18,168.0,2.6666666666666665,6.303143800621711
378,16,174.0,2.761904761904762,6.306148795700556
379,12,112.0,1.8064516129032258,6.649484842454717
380,13,85.0,1.3492063492063493,6.789332396362171
381,11,62.0,1.0,7.135250826429406
382,12,74.0,1.2131147540983607,7.262980637158611
383,14,87.0,1.403225806451613,7.278537330229755
384,12,57.0,0.9344262295081968,7.26617867519174
385,7,37.0,0.6065573770491803,7.5729727922729655
386,8,40.0,0.6557377049180327,7.823590596959839
387,11,49.0,0.7777777777777778,7.647014346271895
388,12,60.0,0.9375,7.709085447937747
389,12,72.0,1.1428571428571428,7.93179853642616
390,16,86.0,1.323076923076923,7.818022288675857
391,16,102.0,1.5692307692307692,7.978429957283123
392,17,119.0,1.859375,8.011898011440639
393,18,136.0,2.1587301587301586,7.6022176865773785
394,20,156.0,2.4761904761904763,7.477460775771285
395,22,177.0,2.8548387096774195,7.039241313190614
396,21,132.0,2.129032258064516,6.5288601708411775
397,17,108.0,1.7419354838709677,6.281964621016381
398,16,98.0,1.5806451612903225,5.771095963597041
399,14,97.0,1.6166666666666667,5.206024237996024
400,14,103.0,1.7166666666666666,5.233079678768439
401,14,110.0,1.8333333333333333,5.3169277411018845
402,15,117.0,1.9830508474576272,5.5878398052008285
403,15,110.0,1.8644067796610169,6.197386285111285
404,16,112.0,1.9310344827586208,6.359532347510803
405,17,118.0,1.9666666666666666,6.546098319169846
406,15,133.0,2.2542372881355934,6.89485034623665
407,17,149.0,2.4833333333333334,7.108405756757626
408,18,166.0,2.721311475409836,7.273148045968618
409,17,183.0,3.1016949152542375,7.321879469827885
410,14,119.0,2.016949152542373,7.285214910641284
411,10,86.0,1.4576271186440677,7.420496774331061
412,10,82.0,1.3898305084745763,7.503520894416718
413,11,79.0,1.3389830508474576,7.451914458891753
414,11,79.0,1.3166666666666667,7.506956085883139
415,12,91.0,1.5166666666666666,7.5561361061729615
416,15,105.0,1.721311475409836,7.529975236575274
417,13,73.0,1.1587301587301588,7.3692677091357845
418,10,65.0,1.0317460317460319,7.433925784582792
419,12,59.0,0.9365079365079365,7.500585509382033
420,11,66.0,1.0476190476190477,7.780421992350826
421,11,77.0,1.2222222222222223,7.762444958780431
422,11,88.0,1.3968253968253967,7.946649592844634
423,13,100.0,1.5625,7.9726646478726115
424,13,113.0,1.7936507936507937,8.18759589622049
425,13,101.0,1.6557377049180328,8.017593311982594
426,11,103.0,1.6885245901639345,8.351735092339895
427,10,111.0,1.85,8.376647370586884
428,8,62.0,1.0163934426229508,8.181539202687413
429,6,49.0,0.8032786885245902,8.01429353936626
430,5,37.0,0.6166666666666667,8.070525553388082
431,7,31.0,0.5166666666666667,7.705999865467455
432,6,36.0,0.5901639344262295,7.533896952514303
433,7,43.0,0.7288135593220338,7.638381224883209
434,10,52.0,0.8666666666666667,7.562161416563942
435,14,64.0,1.0666666666666667,7.134695820850894
436,13,77.0,1.2833333333333334,7.268190440285519
437,14,91.0,1.5166666666666666,7.419518103900121
438,16,106.0,1.7377049180327868,7.404975130351227
439,17,123.0,2.05,7.302832534814062
440,20,142.0,2.3278688524590163,7.184577897470788
441,22,162.0,2.6129032258064515,6.811098936535165
442,20,182.0,3.033333333333333,6.5113982099435335
443,19,139.0,2.316666666666667,6.219930932295253
444,19,150.0,2.5,5.732402228311217
445,15,122.0,2.033333333333333,5.588445883814925
446,15,115.0,2.017543859649123,5.364238965079274
447,17,115.0,1.9491525423728813,5.653517912967571
448,15,118.0,2.0701754385964914,5.724241906365452
449,15,129.0,2.2241379310344827,6.1312654692940844
450,15,143.0,2.4237288135593222,6.462287332323536
451,13,88.0,1.4915254237288136,6.848171978738511
452,12,69.0,1.1694915254237288,6.922683149676858
453,10,55.0,0.9322033898305084,7.413704330371609
454,9,48.0,0.8135593220338984,7.693734782697824
455,11,50.0,0.8333333333333334,7.451763325374689
456,9,56.0,0.9333333333333333,7.6487960695923265
457,10,66.0,1.1,8.049702431841848
458,10,52.0,0.8524590163934426,8.357743014725973
459,8,50.0,0.847457627118644,8.360558807260137
460,9,59.0,1.0,8.44928907997407
461,11,69.0,1.15,8.433601809228664
462,11,79.0,1.2950819672131149,8.379525647445568
463,11,90.0,1.5,8.124715418373123
464,13,101.0,1.6290322580645162,7.7277874648078715
465,14,114.0,1.8095238095238095,7.506433268645331
466,13,106.0,1.7377049180327868,7.253625176309512
467,15,116.0,1.901639344262295,7.251816874257797
468,15,130.0,2.1311475409836067,7.2319451915780295
469,14,144.0,2.4,7.096746571072695
470,14,158.0,2.6333333333333333,7.0950034428398965
471,17,173.0,2.8360655737704916,6.825392851783458
472,16,189.0,3.098360655737705,6.923863273750569
473,16,205.0,3.5344827586206895,6.844835848968049
474,19,223.0,3.7796610169491527,6.7742386711017435
475,19,241.0,4.016666666666667,6.695854924734009
476,20,260.0,4.262295081967213,6.475476392432658
477,18,179.0,2.8870967741935485,6.424256801581315
478,14,132.0,2.129032258064516,6.64547759464992
479,13,117.0,1.9180327868852458,6.434268540683606
480,12,122.0,1.967741935483871,6.760877048563522
481,11,132.0,2.1639344262295084,6.8144297001331475
482,14,145.0,2.338709677419355,6.6819021251225275
483,16,160.0,2.5396825396825395,6.7811894968354505
484,13,130.0,2.1311475409836067,7.02593908327768
485,13,125.0,2.0833333333333335,7.265245174645339
486,13,126.0,2.1,7.47451430690139
487,14,140.0,2.3333333333333335,7.779232875114678
488,15,154.0,2.5245901639344264,7.873136464800537
489,16,169.0,2.725806451612903,7.678125504793839
490,16,185.0,3.0327868852459017,7.559719437551146
491,19,202.0,3.2063492063492065,6.984811765689798
492,16,136.0,2.125,6.616255458800121
493,15,124.0,1.9682539682539681,6.479792428281687
494,14,69.0,1.078125,6.1710748482022115
495,11,45.0,0.7142857142857143,6.286677707337972
496,7,33.0,0.532258064516129,6.681569116152883
497,8,35.0,0.5555555555555556,6.905869926674378
498,10,44.0,0.6875,7.154425314688143
499,6,24.0,0.38095238095238093,7.552571290504501
500,6,26.0,0.40625,7.984608933665152
501,5,27.0,0.421875,8.391021583805271
502,4,31.0,0.49206349206349204,9.187851975481747
503,7,37.0,0.5873015873015873,9.56812305710453
504,7,43.0,0.6935483870967742,9.86578710698989
505,6,49.0,0.8166666666666667,10.027160700343176
506,7,55.0,0.9016393442622951,9.940513858316027
507,6,34.0,0.5573770491803278,9.748730947643809
508,5,38.0,0.6440677966101694,9.672297370777475
509,7,44.0,0.7457627118644068,9.36139807462338
510,9,52.0,0.8813559322033898,8.960121254426348
511,9,61.0,1.0517241379310345,8.733299366728577
512,10,70.0,1.206896551724138,8.390395687223545
513,11,80.0,1.3793103448275863,8.30986703221839
514,11,91.0,1.5964912280701755,8.306984027318329
515,13,103.0,1.8392857142857142,8.170205601434585
516,15,117.0,2.0892857142857144,8.134337791981407
517,14,131.0,2.3392857142857144,8.330695511989276
518,15,145.0,2.543859649122807,8.159892076662008
519,15,159.0,2.789473684210526,8.005925889739101
520,14,173.0,3.0892857142857144,8.105470124321261
521,16,188.0,3.2982456140350878,8.189310948526016
522,16,203.0,3.5,8.058719553285489
523,15,218.0,3.824561403508772,7.786371973514182
524,17,234.0,4.105263157894737,7.226211545343549
525,17,218.0,3.824561403508772,6.761447995142446
526,12,113.0,2.017857142857143,6.8443472167678845
527,12,91.0,1.6851851851851851,7.008902917517901
528,11,84.0,1.5849056603773586,7.221595068705425
529,10,86.0,1.6226415094339623,7.284792251570252
