Step,Waiting_Time,Queue_Length,Density
409,896.0,84,0.7819654808030996
410,863.0,78,0.7608312786192322
411,859.0,78,0.7608312786192322
412,874.0,75,0.718562874251497
413,900.0,78,0.718562874251497
414,926.0,78,0.676294469883762
415,953.0,81,0.7185628742514971
416,980.0,81,0.676294469883762
417,1007.0,81,0.6974286720676295
418,1035.0,84,0.6762944698837621
419,1063.0,84,0.6762944698837621
420,1091.0,84,0.6551602676998943
421,1119.0,84,0.6551602676998943
422,1147.0,84,0.6551602676998943
423,1175.0,84,0.6762944698837619
424,1204.0,87,0.6762944698837619
425,1233.0,87,0.6762944698837619
426,1263.0,90,0.6762944698837619
427,1293.0,90,0.6974286720676295
428,1323.0,90,0.7396970764353645
429,1354.0,93,0.7608312786192319
430,1385.0,93,0.7608312786192319
431,1416.0,93,0.7608312786192319
432,1447.0,93,0.7608312786192319
433,1478.0,93,0.7608312786192319
434,1510.0,96,0.7608312786192319
435,1542.0,96,0.7608312786192319
436,1574.0,96,0.7608312786192319
437,1607.0,99,0.7608312786192319
438,1641.0,102,0.7819654808030997
439,1494.0,96,0.760831278619232
440,1347.0,93,0.760831278619232
441,1205.0,87,0.8030996829869672
442,1072.0,81,0.7819654808030998
443,952.0,75,0.8242338851708348
444,846.0,72,0.8453680873547023
445,780.0,66,0.8242338851708346
446,762.0,63,0.8030996829869672
447,734.0,60,0.8030996829869674
448,720.0,54,0.7819654808030997
449,725.0,54,0.8030996829869674
450,741.0,51,0.8030996829869673
451,755.0,48,0.7819654808030997
452,772.0,51,0.7396970764353648
453,789.0,51,0.7396970764353648
454,806.0,51,0.7185628742514971
455,824.0,54,0.718562874251497
456,842.0,54,0.718562874251497
457,862.0,60,0.7185628742514972
458,883.0,63,0.6974286720676297
459,904.0,63,0.6762944698837621
460,925.0,63,0.6340260655160269
461,947.0,66,0.6340260655160269
462,969.0,66,0.6128918633321594
463,991.0,66,0.6128918633321594
464,1013.0,66,0.5917576611482918
465,1035.0,66,0.5494892567805566
466,1058.0,69,0.5494892567805566
467,1082.0,72,0.5917576611482918
468,1106.0,72,0.5917576611482918
469,1131.0,75,0.5917576611482918
470,1156.0,75,0.5917576611482918
471,1181.0,75,0.5917576611482918
