step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
434.0,4,18.0,0.5,7.266838602126023,4,74.0,0.3475310904431775,4,74.0
441.0,7,43.0,1.3870967741935485,9.81807357022549,7,48.0,0.5085642944869976,7,48.0
448.0,1,2.0,0.06060606060606061,9.850150511030984,1,31.0,0.6511322200192116,1,31.0
455.0,3,9.0,0.3,10.961714070942778,3,9.0,0.6658020844300311,3,9.0
462.0,3,4.0,0.12121212121212122,9.78333701149687,3,10.0,0.6202339452166108,3,10.0
469.0,6,35.0,1.1666666666666667,9.924040544778505,6,35.0,0.509750476979539,6,35.0
476.0,3,11.0,0.3235294117647059,8.710634284213757,3,38.0,0.5985978127562559,3,38.0
483.0,3,27.0,0.75,10.016532698548033,3,29.0,0.5928230292931,3,29.0
490.0,7,19.0,0.6333333333333333,5.841048339303275,7,45.0,0.2553445220597016,7,45.0
497.0,8,61.0,2.033333333333333,8.804074233541133,8,65.0,0.42982336319504016,8,65.0
504.0,3,15.0,0.46875,8.47862754052687,3,67.0,0.5165246397366242,3,67.0
511.0,3,22.0,0.7857142857142857,8.743990407935017,3,29.0,0.44916820989631023,3,29.0
518.0,5,15.0,0.45454545454545453,7.7938034722523915,5,42.0,0.46598519662483345,5,42.0
525.0,4,37.0,1.3214285714285714,8.599730267733687,4,50.0,0.5391876125076259,4,50.0
532.0,6,22.0,0.5945945945945946,8.022430834190283,6,61.0,0.5466624788597996,6,61.0
539.0,7,56.0,1.5135135135135136,8.758665877154016,7,68.0,0.5013155622756877,7,68.0
546.0,8,38.0,1.027027027027027,6.754288305825028,8,89.0,0.3932138101166474,8,89.0
553.0,10,60.0,1.5384615384615385,7.612944920981611,10,74.0,0.4305705167902168,10,74.0
560.0,6,31.0,0.7380952380952381,6.70590716264832,6,105.0,0.4094093441536036,6,105.0
567.0,6,47.0,1.146341463414634,8.208393995459291,6,79.0,0.4026631201334782,6,79.0
574.0,7,22.0,0.5641025641025641,6.594258953326359,7,71.0,0.2932594030275037,7,71.0
581.0,12,88.0,2.4444444444444446,8.197559521606557,12,106.0,0.43387530384018036,12,106.0
588.0,5,35.0,1.0294117647058822,6.965891499095647,5,112.0,0.4253241714421357,5,112.0
595.0,6,27.0,0.7714285714285715,8.804039466913093,6,49.0,0.4212848268162233,6,49.0
602.0,4,15.0,0.36585365853658536,8.644601082302987,4,68.0,0.5294548109276328,4,68.0
609.0,7,58.0,1.4871794871794872,9.4427854966102,7,80.0,0.5420440736868101,7,80.0
616.0,5,18.0,0.4864864864864865,7.58754416704147,5,73.0,0.3928917072611437,5,73.0
623.0,6,25.0,0.7352941176470589,9.608905302309326,6,35.0,0.5365974108472331,6,35.0
630.0,4,10.0,0.2777777777777778,8.773196036178405,4,40.0,0.5630675483356528,4,40.0
637.0,7,49.0,1.2564102564102564,9.904230474911127,7,52.0,0.6238490045661609,7,52.0
644.0,3,10.0,0.22727272727272727,8.330399618721275,3,57.0,0.5615030275734206,3,57.0
651.0,6,23.0,0.575,9.257336348200607,6,24.0,0.5171897025464086,6,24.0
658.0,7,15.0,0.39473684210526316,7.658753097068335,7,40.0,0.3404497268880566,7,40.0
665.0,6,43.0,1.1944444444444444,8.748090200085123,6,53.0,0.5072303194081659,6,53.0
672.0,4,12.0,0.3157894736842105,7.379975310511878,4,47.0,0.4559898530651959,4,47.0
679.0,13,80.0,1.951219512195122,8.164310599438709,13,90.0,0.44909768921108995,13,90.0
686.0,17,184.0,4.717948717948718,5.732706846667848,17,194.0,0.28350447054528916,17,194.0
693.0,12,105.0,2.441860465116279,5.639253024980388,12,242.0,0.35120101244752633,12,242.0
700.0,6,34.0,0.7727272727272727,8.680994701393582,6,115.0,0.46894404123536615,6,115.0
707.0,7,26.0,0.6046511627906976,6.928780451474568,7,120.0,0.37480244497563997,7,120.0
714.0,13,92.0,2.2439024390243905,7.581797290974953,13,167.0,0.34480955522646856,13,167.0
721.0,12,87.0,2.3513513513513513,5.656732359046111,12,191.0,0.23664101432621032,12,191.0
728.0,8,55.0,1.6176470588235294,8.767077977615507,8,139.0,0.44397368042544516,8,139.0
735.0,6,16.0,0.45714285714285713,8.072292143555604,6,144.0,0.49140383065148463,6,144.0
742.0,11,79.0,2.0256410256410255,9.15337447165258,11,175.0,0.4785359293321684,11,175.0
749.0,6,41.0,1.0,7.5482048291931765,6,168.0,0.4477070672591659,6,168.0
756.0,4,30.0,0.7894736842105263,8.084945936374542,4,80.0,0.3472491948596111,4,80.0
763.0,3,8.0,0.19047619047619047,8.37985776076286,3,95.0,0.47780276164422913,3,95.0
770.0,8,48.0,1.2972972972972974,9.530339373817707,8,98.0,0.5446426235868325,8,98.0
777.0,6,33.0,0.9705882352941176,7.016836039429204,6,83.0,0.3357837721001577,6,83.0
784.0,8,44.0,1.5172413793103448,7.935089067126603,8,70.0,0.37140500421204026,8,70.0
791.0,3,8.0,0.25,8.10282330496562,3,71.0,0.5202030645101563,3,71.0
798.0,7,45.0,1.3235294117647058,9.822925782618425,7,71.0,0.5672289832022059,7,71.0
805.0,6,36.0,1.125,8.689351793698371,6,90.0,0.4362010471401237,6,90.0
812.0,3,15.0,0.5172413793103449,10.422933285381584,3,46.0,0.6038334828652143,3,46.0
819.0,5,10.0,0.35714285714285715,8.276625009620798,5,41.0,0.48067784065103575,5,41.0
826.0,5,40.0,1.4814814814814814,9.363884988261233,5,59.0,0.5275185003512206,5,59.0
833.0,2,6.0,0.2222222222222222,7.013490036879297,2,50.0,0.4413029394563638,2,50.0
840.0,7,38.0,1.2666666666666666,9.032538823266359,7,38.0,0.5294950323963765,7,38.0
847.0,1,4.0,0.14285714285714285,8.276733543913693,1,33.0,0.5023334658236573,1,33.0
854.0,3,18.0,0.6206896551724138,11.452111821613999,3,18.0,0.736525401095376,3,18.0
861.0,2,6.0,0.2,9.714701497884855,2,6.0,0.6395232447136427,2,6.0
868.0,7,39.0,1.5,8.461004998347095,7,39.0,0.43850103677711155,7,39.0
875.0,3,11.0,0.39285714285714285,7.71936578633452,3,38.0,0.49168254663869415,3,38.0
882.0,2,14.0,0.5,11.191634896308686,2,18.0,0.7194287170591688,2,18.0
889.0,3,8.0,0.27586206896551724,9.298166714127666,3,10.0,0.6954558906326676,3,10.0
896.0,5,36.0,1.2413793103448276,9.479973430218859,5,36.0,0.5762605210381189,5,36.0
903.0,3,7.0,0.19444444444444445,9.1841620212369,3,25.0,0.6442094268173025,3,25.0
910.0,6,39.0,1.0833333333333333,9.133352999597493,6,39.0,0.5127656132812746,6,39.0
917.0,4,12.0,0.2727272727272727,8.059010161840886,4,52.0,0.5019604940509347,4,52.0
924.0,5,29.0,0.6744186046511628,9.71068757076745,5,30.0,0.5968901991111853,5,30.0
931.0,7,16.0,0.38095238095238093,7.581166363650831,7,41.0,0.425547926359035,7,41.0
938.0,13,90.0,2.4324324324324325,7.931154414532254,13,91.0,0.332643570223656,13,91.0
945.0,4,29.0,0.8787878787878788,7.49840283225148,4,107.0,0.40020825939648763,4,107.0
952.0,5,30.0,0.9375,9.875209534847404,5,41.0,0.5929876482592651,5,41.0
959.0,3,9.0,0.23684210526315788,8.650757780520376,3,43.0,0.533015253851572,3,43.0
966.0,7,47.0,1.2702702702702702,9.430846450787255,7,58.0,0.5754594937067524,7,58.0
973.0,6,18.0,0.45,7.905105627217642,6,59.0,0.492043542065656,6,59.0
980.0,8,52.0,1.2093023255813953,8.208318861913087,8,55.0,0.4662194262075046,8,55.0
987.0,4,11.0,0.25,6.329760179474238,4,67.0,0.35734544182387856,4,67.0
994.0,10,65.0,1.4444444444444444,8.585355893669295,10,68.0,0.48348531282703633,10,68.0
1001.0,13,73.0,1.5869565217391304,6.152330072046514,13,124.0,0.33932224716286247,13,124.0
1008.0,10,82.0,1.64,7.501807624464774,10,121.0,0.41111305390443864,10,121.0
1015.0,9,41.0,0.7735849056603774,6.291867116964921,9,153.0,0.3482587364041642,9,153.0
1022.0,16,95.0,2.021276595744681,6.934841241177531,16,142.0,0.2995289753349135,16,142.0
1029.0,12,79.0,1.8372093023255813,5.982997508880333,12,194.0,0.23071048926918955,12,194.0
1036.0,5,43.0,1.131578947368421,9.323714796870695,5,100.0,0.498465118517099,5,100.0
1043.0,4,15.0,0.375,8.284749847600493,4,85.0,0.482850003521258,4,85.0
1050.0,8,64.0,1.8823529411764706,8.807123323672002,8,102.0,0.5494409427793516,8,102.0
1057.0,7,39.0,1.0263157894736843,7.013208469611024,7,102.0,0.4170066677537891,7,102.0
1064.0,10,75.0,2.027027027027027,7.510599099838893,10,85.0,0.3741439294998272,10,85.0
1071.0,8,32.0,0.8888888888888888,5.895803764224662,8,112.0,0.3332531105941792,8,112.0
1078.0,6,48.0,1.411764705882353,8.852959131742184,6,71.0,0.4412470688722358,6,71.0
1085.0,4,17.0,0.5666666666666667,7.459802744297729,4,69.0,0.35289492701924857,4,69.0
1092.0,5,28.0,1.0769230769230769,9.707578597067766,5,44.0,0.5574875473794658,5,44.0
1099.0,2,5.0,0.17857142857142858,8.46961134136876,2,34.0,0.5159264774491381,2,34.0
1106.0,5,31.0,1.2916666666666667,10.336284868606088,5,33.0,0.5806566826692974,5,33.0
