step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
7.0,0,0.0,0.0,12.202374972937195,0,0.0,0.9480629557033093,0,0.0
14.0,0,0.0,0.0,11.47301184590622,0,0.0,0.8781950540665271,0,0.0
21.0,1,2.0,0.09523809523809523,10.402894139054094,1,2.0,0.7698230650743789,1,2.0
28.0,6,26.0,0.8387096774193549,8.839123295417984,6,26.0,0.5850627725083727,6,26.0
35.0,6,14.0,0.4,6.1946232496931914,6,43.0,0.43169774767395724,6,43.0
42.0,10,51.0,1.3076923076923077,8.41035763226285,10,59.0,0.48765083403813375,10,59.0
49.0,8,30.0,0.6382978723404256,7.021657477699276,8,75.0,0.4328180181373407,8,75.0
56.0,8,55.0,1.2790697674418605,8.240366677903006,8,71.0,0.46425893982853333,8,71.0
63.0,12,52.0,1.1555555555555554,6.665453409029835,12,103.0,0.34217588348354916,12,103.0
70.0,10,78.0,1.7727272727272727,8.489944281630715,10,124.0,0.4672295429184478,10,124.0
77.0,5,31.0,0.7045454545454546,7.045057378210169,5,108.0,0.3690862407630586,5,108.0
84.0,13,56.0,1.302325581395349,7.682911733099018,13,102.0,0.3980299493428448,13,102.0
91.0,17,164.0,3.5652173913043477,7.0431024005602305,17,192.0,0.40138437049440795,17,192.0
98.0,15,122.0,2.8372093023255816,4.391064224330843,15,238.0,0.26612764412327466,15,238.0
105.0,8,47.0,0.8703703703703703,7.616406440306114,8,154.0,0.4403482714539675,8,154.0
112.0,9,38.0,0.6666666666666666,6.451702688156402,9,180.0,0.363340690179045,9,180.0
119.0,15,80.0,1.5384615384615385,6.61278435185418,15,194.0,0.3594797855636751,15,194.0
126.0,18,89.0,1.5892857142857142,5.345512797701143,18,249.0,0.27351589658322806,18,249.0
133.0,18,113.0,2.215686274509804,6.630600089298824,18,193.0,0.29961889431516037,18,193.0
140.0,13,87.0,1.7058823529411764,5.49336345111347,13,239.0,0.28277706334884,13,239.0
147.0,9,66.0,1.346938775510204,7.873185302505945,9,175.0,0.4145821418350811,9,175.0
154.0,11,49.0,1.0425531914893618,6.141489568904128,11,185.0,0.2965323486403092,11,185.0
161.0,13,89.0,1.934782608695652,8.457585756989529,13,144.0,0.47173759911929625,13,144.0
168.0,10,67.0,1.4565217391304348,6.889093205362521,10,172.0,0.379930029676571,10,172.0
175.0,8,42.0,0.9333333333333333,8.515733904638983,8,84.0,0.4635673528578007,8,84.0
182.0,13,116.0,2.6363636363636362,8.318278008036904,13,122.0,0.3053234191680413,13,122.0
189.0,10,56.0,1.4,6.477685806633971,10,141.0,0.3242813194803973,10,141.0
196.0,6,40.0,1.0256410256410255,8.944649763566689,6,70.0,0.49596370813250895,6,70.0
203.0,7,27.0,0.75,6.102807484517214,7,96.0,0.25100940416351564,7,96.0
210.0,9,73.0,1.972972972972973,8.627753652450576,9,105.0,0.4844278061320432,9,105.0
217.0,4,30.0,0.7692307692307693,6.634111732149788,4,105.0,0.3831383854354149,4,105.0
224.0,7,39.0,1.1470588235294117,8.094882585997336,7,59.0,0.38933398878696945,7,59.0
231.0,4,9.0,0.23684210526315788,7.7486226844523065,4,54.0,0.48503186747455773,4,54.0
238.0,11,66.0,1.6097560975609757,8.477339746132648,11,69.0,0.5011924278110537,11,69.0
245.0,11,67.0,1.5952380952380953,6.251558732115755,11,119.0,0.38076504291019075,11,119.0
252.0,10,66.0,1.65,6.996881320197113,10,115.0,0.3075417447532021,10,115.0
259.0,6,15.0,0.3488372093023256,6.814586940050292,6,109.0,0.35146531819113275,6,109.0
266.0,10,58.0,1.4146341463414633,9.174800753027768,10,86.0,0.5322233607521182,10,86.0
273.0,7,41.0,0.9761904761904762,7.3500992369993625,7,100.0,0.4338108048196926,7,100.0
280.0,8,41.0,1.1081081081081081,8.430169692670207,8,59.0,0.44401548126441726,8,59.0
287.0,5,11.0,0.3055555555555556,6.774885232341792,5,68.0,0.3537713782748738,5,68.0
294.0,7,53.0,1.7096774193548387,8.830207277526409,7,69.0,0.4588238910191458,7,69.0
301.0,3,19.0,0.6129032258064516,8.065179080525198,3,70.0,0.4835805082257856,3,70.0
308.0,4,23.0,0.7931034482758621,10.774415919282093,4,23.0,0.6436449233933288,4,23.0
315.0,1,1.0,0.03125,9.72575034125252,1,10.0,0.6685468862151421,1,10.0
322.0,3,9.0,0.3,11.328520596570842,3,9.0,0.6969600488730833,3,9.0
329.0,7,46.0,1.4838709677419355,10.537600178991923,7,46.0,0.6140658684946383,7,46.0
336.0,3,15.0,0.5,7.524151683736496,3,41.0,0.4475549442489856,3,41.0
343.0,9,49.0,1.6333333333333333,8.843317916436057,9,49.0,0.4786983502294302,9,49.0
350.0,4,20.0,0.6451612903225806,8.029820161302593,4,55.0,0.5252617959650412,4,55.0
357.0,4,20.0,0.5882352941176471,10.298449101498905,4,23.0,0.6224745859877762,4,23.0
364.0,8,65.0,1.8571428571428572,9.210735228798775,8,65.0,0.5172555252098153,8,65.0
371.0,5,16.0,0.43243243243243246,7.908124999768579,5,66.0,0.5223136580886932,5,66.0
378.0,6,41.0,1.1714285714285715,9.012562728184747,6,41.0,0.489621018732885,6,41.0
385.0,5,17.0,0.4358974358974359,8.848388978625882,5,47.0,0.578538407377255,5,47.0
392.0,7,53.0,1.4722222222222223,9.746453525820376,7,53.0,0.5978025762238309,7,53.0
399.0,4,14.0,0.3888888888888889,6.79775530254874,4,56.0,0.35916591736570486,4,56.0
406.0,7,48.0,1.5,9.251409819337226,7,48.0,0.44198945120562066,7,48.0
413.0,4,11.0,0.3235294117647059,7.701248853004254,4,52.0,0.46387893828110704,4,52.0
420.0,4,36.0,1.0285714285714285,10.48300584369767,4,36.0,0.6814475509776353,4,36.0
427.0,2,5.0,0.15151515151515152,7.973685002835313,2,23.0,0.48941514542814335,2,23.0
434.0,5,29.0,0.8529411764705882,8.928949161874986,5,29.0,0.47354453933643265,5,29.0
441.0,3,7.0,0.18421052631578946,8.448914028095647,3,29.0,0.5784085096600644,3,29.0
448.0,8,44.0,1.1891891891891893,8.664152222452111,8,44.0,0.475573003592724,8,44.0
455.0,9,53.0,1.394736842105263,6.977177378660309,9,78.0,0.4022893792670864,9,78.0
462.0,7,45.0,1.1538461538461537,8.491618299895118,7,95.0,0.48188849279483326,7,95.0
469.0,9,82.0,2.411764705882353,8.362875468019402,9,106.0,0.4391281671376111,9,106.0
476.0,4,8.0,0.2222222222222222,7.311984509126503,4,83.0,0.462918087582355,4,83.0
483.0,8,47.0,1.236842105263158,9.411759137870433,8,71.0,0.5765141719790016,8,71.0
490.0,11,51.0,1.275,6.609026998525698,11,92.0,0.3386992401021222,11,92.0
497.0,10,73.0,1.9210526315789473,7.763856012818696,10,115.0,0.4180723977712784,10,115.0
504.0,7,23.0,0.5609756097560976,6.653117089072495,7,121.0,0.3982345486469235,7,121.0
511.0,10,60.0,1.4634146341463414,8.313048642907898,10,93.0,0.42750731641392614,10,93.0
518.0,9,50.0,1.3157894736842106,6.263493852042523,9,133.0,0.2811476540157084,9,133.0
525.0,7,58.0,1.5675675675675675,9.392879429325285,7,74.0,0.5512543798814391,7,74.0
532.0,4,13.0,0.3333333333333333,8.5920248492039,4,70.0,0.5310351091108585,4,70.0
539.0,8,53.0,1.5142857142857142,9.201186218150086,8,60.0,0.5437698783851318,8,60.0
546.0,3,8.0,0.2,8.18988462115292,3,53.0,0.5086173573309116,3,53.0
553.0,6,30.0,0.8333333333333334,9.830195208186062,6,31.0,0.5692223839379803,6,31.0
560.0,5,12.0,0.35294117647058826,7.042769203348381,5,40.0,0.3157098652576852,5,40.0
567.0,7,54.0,1.7419354838709677,9.521143237304189,7,55.0,0.48966424286202986,7,55.0
574.0,1,2.0,0.06060606060606061,9.75321439435971,1,37.0,0.638884251554833,1,37.0
581.0,4,16.0,0.5714285714285714,9.379031664331269,4,16.0,0.4353483377693518,4,16.0
588.0,0,0.0,0.0,9.564580743950554,0,19.0,0.6709508677963584,0,19.0
