step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
7.0,0,0.0,0.0,13.565198566147666,0,0.0,0.9561728773177102,0,0.0
14.0,0,0.0,0.0,11.563376806235542,0,0.0,0.8181767152735705,0,0.0
21.0,3,12.0,0.5217391304347826,10.440370314860406,3,12.0,0.7176150644290669,3,12.0
28.0,3,7.0,0.2692307692307692,8.16193621139111,3,14.0,0.5906811792190526,3,14.0
35.0,6,35.0,1.09375,9.775568475997758,6,35.0,0.5314877340888629,6,35.0
42.0,3,11.0,0.34375,7.841700868564861,3,38.0,0.4739808910228566,3,38.0
49.0,7,43.0,1.2647058823529411,9.467561598393539,7,43.0,0.5519420012716898,7,43.0
56.0,5,12.0,0.375,6.950013107680828,5,45.0,0.3742881704468278,5,45.0
63.0,9,48.0,1.411764705882353,9.143995116292379,9,50.0,0.5077307453319212,9,50.0
70.0,3,10.0,0.3225806451612903,7.631975852023808,3,62.0,0.45553480173903926,3,62.0
77.0,6,35.0,1.1290322580645162,9.939605620796932,6,37.0,0.5192827992907229,6,37.0
84.0,1,1.0,0.03125,9.818461485993264,1,22.0,0.6421851830376002,1,22.0
91.0,6,28.0,0.9032258064516129,9.327376537415306,6,28.0,0.5341915740834839,6,28.0
98.0,4,6.0,0.2,6.577429742111536,4,42.0,0.41814401468048606,4,42.0
105.0,4,26.0,0.7222222222222222,9.577977464198453,4,26.0,0.5619387892254941,4,26.0
112.0,3,6.0,0.15,8.524776597305086,3,27.0,0.555158178955137,3,27.0
119.0,7,43.0,1.1944444444444444,9.197040060548334,7,43.0,0.5317204868882369,7,43.0
126.0,7,28.0,0.7567567567567568,7.149296337495471,7,70.0,0.42572769949041267,7,70.0
133.0,4,26.0,0.6842105263157895,9.667548965272362,4,41.0,0.5794302624769602,4,41.0
140.0,4,11.0,0.28205128205128205,8.064375617666219,4,39.0,0.46458256933031805,4,39.0
147.0,9,52.0,1.368421052631579,9.511698749755277,9,62.0,0.5191470449816677,9,62.0
154.0,9,36.0,0.9230769230769231,5.974126962888554,9,89.0,0.29067410472231797,9,89.0
161.0,8,55.0,1.4473684210526316,7.708553648072537,8,79.0,0.3806482227674018,8,79.0
168.0,5,25.0,0.625,7.185222314992332,5,86.0,0.4242366032479429,5,86.0
175.0,12,75.0,1.829268292682927,8.118075552657517,12,99.0,0.4336807499770277,12,99.0
182.0,7,58.0,1.4146341463414633,7.025387029819154,7,128.0,0.4111372611334876,7,128.0
189.0,9,35.0,0.875,8.346859724129654,9,86.0,0.38452664651520907,9,86.0
196.0,5,14.0,0.35,6.630855631419337,5,98.0,0.3872836424113745,5,98.0
203.0,11,70.0,1.8918918918918919,7.535489297357696,11,126.0,0.3447072255014719,11,126.0
210.0,11,62.0,1.6756756756756757,6.146104289283255,11,159.0,0.2980961024324637,11,159.0
217.0,8,55.0,1.4864864864864864,8.015690920379347,8,122.0,0.45052209802805204,8,122.0
224.0,6,15.0,0.38461538461538464,6.981845203899263,6,125.0,0.421823393846791,6,125.0
231.0,12,67.0,1.675,7.35171062490609,12,152.0,0.3280689015723314,12,152.0
238.0,11,65.0,1.625,6.104788676470091,11,182.0,0.3064578161529048,11,182.0
245.0,7,48.0,1.3714285714285714,8.344964832640336,7,141.0,0.3832853966116153,7,141.0
252.0,3,6.0,0.18181818181818182,7.128543757240306,3,118.0,0.35357342571360717,3,118.0
